> df.summary 
           subforum cluster motif  mean.prob
1            france       1     1 0.30017857
2            france       1     2 0.43089286
3            france       1     3 0.03905660
4            france       1     4 0.03981132
5            france       1     5 0.12839286
6            france       1     6 0.05345455
7            france       1     7 0.01761905
8            france       1     8 0.01400000
9            france       1     9 0.01500000
10           france       1    10 0.01000000
11           france       1    11 0.01000000
12           france       1    12 0.01000000
13           france       1    13 0.01000000
14           france       1    14 0.01000000
15           france       1    15 0.01000000
16           france       1    16 0.01000000
17           france       1    17 0.02000000
18           france       1    18 0.01000000
19           france       2     1 0.29000000
20           france       2     2 0.29000000
21           france       2     3 0.18666667
22           france       2     4 0.09666667
23           france       2     5 0.05666667
24           france       2     6 0.05333333
25           france       2     7 0.01666667
26           france       2     8 0.01000000
27           france       2    10 0.01000000
28           france       3     1 0.40600000
29           france       3     2 0.36825000
30           france       3     3 0.05225000
31           france       3     4 0.04763158
32           france       3     5 0.07125000
33           france       3     6 0.04945946
34           france       3     7 0.01500000
35           france       3     8 0.01461538
36           france       3     9 0.01000000
37           france       3    11 0.01000000
38           france       3    13 0.01000000
39           france       3    16 0.01000000
40    gameofthrones       1     1 0.43975610
41    gameofthrones       1     2 0.27670732
42    gameofthrones       1     3 0.10617284
43    gameofthrones       1     4 0.04868421
44    gameofthrones       1     5 0.09256098
45    gameofthrones       1     6 0.03780822
46    gameofthrones       1     7 0.01636364
47    gameofthrones       1     8 0.01166667
48    gameofthrones       1     9 0.01000000
49    gameofthrones       1    10 0.01000000
50    gameofthrones       1    11 0.01000000
51    gameofthrones       1    12 0.01000000
52    gameofthrones       1    13 0.01200000
53    gameofthrones       1    14 0.01000000
54    gameofthrones       2     1 0.15888889
55    gameofthrones       2     2 0.16444444
56    gameofthrones       2     3 0.32444444
57    gameofthrones       2     4 0.17000000
58    gameofthrones       2     5 0.06444444
59    gameofthrones       2     6 0.09888889
60    gameofthrones       2     7 0.04000000
61    gameofthrones       2     8 0.01500000
62    gameofthrones       2     9 0.02000000
63    gameofthrones       2    10 0.01000000
64    gameofthrones       2    11 0.01000000
65    gameofthrones       2    13 0.01000000
66    gameofthrones       2    14 0.01000000
67    gameofthrones       3     1 0.26142857
68    gameofthrones       3     2 0.33428571
69    gameofthrones       3     3 0.07571429
70    gameofthrones       3     4 0.08500000
71    gameofthrones       3     5 0.17285714
72    gameofthrones       3     6 0.07857143
73    gameofthrones       3     8 0.01500000
74  MachineLearning       1     1 0.31955128
75  MachineLearning       1     2 0.34352826
76  MachineLearning       1     3 0.07726557
77  MachineLearning       1     4 0.09647822
78  MachineLearning       1     5 0.07572857
79  MachineLearning       1     6 0.05702747
80  MachineLearning       1     7 0.03127413
